index,datetime,wall_time,num_env,num_episodes,learning_rate,hidden_layers,min_reward,max_reward,mean_reward,reward_variance,mean_actor_loss,mean_critic_loss,mean_entropy_loss,mean_overall_loss
19,20210407-003658,158.5122633000001,12,50000,0.001,"(64, 64)",17.3,163.8,108.57,35.837199946424384,-0.05326184871736368,1.5219988045324893,-3.117520799636841,1.4656019721876132
20,20210407-003658,159.36964778300035,12,50000,0.001,"(128, 128)",22.2,164.4,114.21799999999999,36.35157047501525,-0.058534832160607536,1.4298693296207696,-3.0922893190383913,1.3682202169423923
21,20210407-003658,157.30126441300035,12,50000,0.002,"(32, 32)",20.4,182.7,107.02799999999999,36.0148582671097,-0.06618657821599973,1.5356748392475943,-3.125144152641296,1.4663700362970586
22,20210407-003658,162.36947693899947,12,50000,0.002,"(64, 64)",22.1,182.2,125.00800000000001,36.60508620396898,-0.06147046317613003,1.318867451475718,-3.0745736598968505,1.254296996885736
23,20210407-003658,163.78515350100042,12,50000,0.002,"(128, 128)",33.5,196.5,125.898,38.56191639428725,-0.05774653552611517,1.2342626231623697,-3.0713405227661132,1.1734534422072234
24,20210407-003658,160.31393654600015,12,50000,0.003,"(32, 32)",23.9,183.9,117.76599999999999,35.31293026640525,-0.06414990417149252,1.382712430583054,-3.089207034111023,1.3154778390950408
25,20210407-003658,162.9688487379999,12,50000,0.003,"(64, 64)",28.8,190.5,123.898,32.18186750330067,-0.06265780768403492,1.262468244077635,-3.1044461011886595,1.196732985343528
26,20210407-003658,166.11256609599968,12,50000,0.003,"(128, 128)",28.4,196.3,135.904,34.871088081675914,-0.0587384928717358,1.192310676358192,-3.005770788192749,1.130551537220308
27,20210407-003658,307.1885610239997,12,100000,0.001,"(32, 32)",21.0,182.2,109.59200000000001,33.15657605965972,-0.06966852833066069,1.5378470521691758,-3.13319087266922,1.465044308590202
28,20210407-003658,315.2546040449997,12,100000,0.001,"(64, 64)",16.8,183.2,120.25799999999998,31.486550080947264,-0.06763542198813777,1.3099043810987903,-3.106073031425476,1.2391661512565975
29,20210407-003658,320.8180804529993,12,100000,0.001,"(128, 128)",20.4,184.3,124.211,32.148570403674256,-0.06888911518193432,1.2664221638172968,-3.095467164516449,1.194447473402461
30,20210407-003658,307.6179254869994,12,100000,0.002,"(32, 32)",21.5,163.9,110.81299999999999,29.79369951852237,-0.0758891257995523,1.3780605108047805,-3.0836325120925903,1.2990747676889993
31,20210407-003658,315.7201913889994,12,100000,0.002,"(64, 64)",23.3,176.8,121.00399999999999,30.626994367714246,-0.07225146069745052,1.2548657800436085,-3.040979814529419,1.1795435218641186
32,20210407-003658,320.1059990169997,12,100000,0.002,"(128, 128)",27.2,190.5,125.196,30.991985802784566,-0.06630132098345287,1.1356368824775505,-3.023880908489227,1.066305758814828
33,20210407-003658,317.0133714329995,12,100000,0.003,"(32, 32)",21.0,183.4,122.20499999999998,28.653357133152824,-0.07506863371140286,1.2951095593239645,-3.064055860042572,1.2169870114736958
34,20210407-003658,316.83657122599925,12,100000,0.003,"(64, 64)",28.5,177.7,124.21000000000002,30.332983697618666,-0.06360603519686446,1.1019448233266056,-2.994209725856781,1.0353139314318482
35,20210407-003658,319.8593564590001,12,100000,0.003,"(128, 128)",32.4,195.2,126.43699999999997,31.901867202406823,-0.061882684420753335,1.0781327347003251,-2.9699885272979736,1.013248599778884
36,20210407-003658,214.57205581400012,24,50000,0.001,"(32, 32)",20.6,186.4,111.56,42.19730323136776,0.005606630539586331,1.4673430688649416,-3.142483615875244,1.4698069454938638
